no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,n,AET,R
element_1376,1985,281.091853,8.929861726,85.07061317,1183.205121,713.9161039,2.294015217,1.318085739,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,646.0546773,537.1504437
element_1376,1986,280.9228533,9.05037262,88.21932627,1185.141503,715.5019539,2.2870321,1.154878126,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,647.406328,537.735175
element_1376,1987,280.6349108,9.149029369,89.31755518,1215.704876,722.8571449,2.364550351,1.11155636,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,656.2345884,559.4702876
element_1376,1988,281.1278887,8.933802216,87.36824132,1181.739655,728.7951887,2.374643645,1.104229277,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,656.2758703,525.4637847
element_1376,1989,280.6690752,9.023301186,87.53373872,1188.072139,720.8070928,2.289324984,1.119563738,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,651.4948506,536.5772884
element_1376,1990,280.8184794,8.802474549,86.34569049,1123.245827,698.9066289,2.29629854,1.105677604,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,628.0634624,495.1823646
element_1376,1991,280.7998439,8.964166521,86.61681943,1191.016701,720.2179396,2.363787359,1.007782339,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,651.4392388,539.5774622
element_1376,1992,281.0081327,9.050185175,86.83324249,1221.38663,735.2236236,2.41114766,1.104971801,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,665.681304,555.705326
element_1376,1993,281.1272368,8.703522594,88.12914788,1175.67016,773.5125719,2.365308482,1.220979991,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,685.5902449,490.0799151
element_1376,1994,281.4619714,8.79715766,91.44390099,1112.976911,742.6383653,2.301797561,1.214182863,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,655.7898184,457.1870926
element_1376,1995,281.2734344,9.14050099,92.34308336,1248.4188,738.5437592,2.381923532,1.207219243,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,671.2034885,577.2153115
element_1376,1996,281.1338874,9.124400356,88.24649773,1224.832765,726.5778092,2.390830185,1.182260422,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,659.9436198,564.8891452
element_1376,1997,281.2591274,8.967787594,88.02788502,1191.091884,752.5580609,2.302938061,1.191567326,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,673.8198475,517.2720365
element_1376,1998,281.4610557,8.906483739,90.19663939,1091.94199,781.155368,2.32122068,1.250198423,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,676.2734225,415.6685675
element_1376,1999,281.1479559,8.868729722,88.24059599,1125.055918,771.180648,2.326498446,1.260999963,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,675.9972999,449.0586181
element_1376,2000,281.5401155,9.108292665,91.06716457,1286.102296,798.7366218,2.241951122,1.183751116,0,186.6793384,3.132052694,1717.9,0.861600809,11.2346684,-6.883465292,62.06974283,6.649180412,34.03360748,8.53125,3,2.4968581,718.0898767,568.0124193
